2017-03-05 13:26:56.868 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'DESKTOP-USRB3A3\jcoxhead' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "DESKTOP-USRB3A3\jcoxhead" /add
2017-03-05 13:26:56.985 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2017-03-05 13:26:56.990 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2017-03-05 13:26:56.994 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2017-03-05 13:26:57.081 INFO  NServiceBus.LicenseManager License expires on 03/02/18 00:00:00
2017-03-05 13:26:57.086 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'DESKTOP-USRB3A3\jcoxhead' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "DESKTOP-USRB3A3\jcoxhead" /add
2017-03-05 13:26:57.759 INFO  NServiceBus.Features.QueuePermissions Queue [private$\ProductMaster.FundShareClass.FailedMessages] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-05 13:26:57.762 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2017-03-05 13:26:57.763 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2017-03-05 13:26:57.765 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2017-03-05 13:26:57.774 INFO  NServiceBus.Features.QueuePermissions Queue [private$\ProductMaster.FundShareClass.Events.Timeouts] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-05 13:26:57.784 INFO  NServiceBus.Features.QueuePermissions Queue [private$\ProductMaster.FundShareClass.Events.TimeoutsDispatcher] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-05 13:26:57.796 INFO  NServiceBus.Features.QueuePermissions Queue [private$\ProductMaster.FundShareClass.Events.Retries] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-05 13:26:57.803 INFO  NServiceBus.Features.QueuePermissions Queue [private$\ProductMaster.FundShareClass.Events] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-05 13:27:00.083 INFO  ClientExampleWithAbstraction.Program Press 'P' to place an order, or 'Q' to quit.
2017-03-05 13:27:12.164 INFO  ClientExampleWithAbstraction.Program Press 'P' to place an order, or 'Q' to quit.
2017-03-05 13:28:31.815 INFO  Schroders.Bus.Core.BusEvent Handling: order for bus Event
