2017-03-05 12:49:14.409 INFO  NServiceBus.SubscriptionReceiverBehavior Subscribe from ProductMaster.FundShareClass.Events@DESKTOP-USRB3A3 on message type Schroders.Bus.Core.BusEvent, Schroders.Bus.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
2017-03-05 13:26:56.632 INFO  DefaultFactory Logging to 'C:\Alterax\NServiceBus\SchrodersPubSubExample\ServerWIthAbstraction\bin\Debug\net461\win7-x64\' with level Info
2017-03-05 13:26:56.925 INFO  NServiceBus.LicenseManager License expires on 03/02/18 00:00:00
2017-03-05 13:26:56.989 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'DESKTOP-USRB3A3\jcoxhead' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "DESKTOP-USRB3A3\jcoxhead" /add
2017-03-05 13:26:57.792 INFO  NServiceBus.Features.QueuePermissions Queue [private$\ProductMaster.FundShareClass.FailedMessages] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-05 13:26:57.806 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2017-03-05 13:26:57.831 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2017-03-05 13:26:57.880 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2017-03-05 13:26:57.894 INFO  NServiceBus.Features.QueuePermissions Queue [private$\ProductMaster.FundShareClass.Commands.Timeouts] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-05 13:26:57.911 INFO  NServiceBus.Features.QueuePermissions Queue [private$\ProductMaster.FundShareClass.Commands.TimeoutsDispatcher] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-05 13:26:57.923 INFO  NServiceBus.Features.QueuePermissions Queue [private$\ProductMaster.FundShareClass.Commands.Retries] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-05 13:26:57.955 INFO  NServiceBus.Features.QueuePermissions Queue [private$\ProductMaster.FundShareClass.Commands] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-05 13:27:00.100 INFO  NServiceBus.LicenseManager License expires on 03/02/18 00:00:00
2017-03-05 13:27:00.108 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'DESKTOP-USRB3A3\jcoxhead' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "DESKTOP-USRB3A3\jcoxhead" /add
2017-03-05 13:27:00.406 INFO  NServiceBus.Features.QueuePermissions Queue [private$\ProductMaster.FundShareClass.PublisherFailedMessages] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-05 13:27:00.412 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2017-03-05 13:27:00.414 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2017-03-05 13:27:00.416 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2017-03-05 13:27:00.446 INFO  NServiceBus.Features.QueuePermissions Queue [private$\ProductMaster.FundShareClass.Publisher.Timeouts] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-05 13:27:00.455 INFO  NServiceBus.Features.QueuePermissions Queue [private$\ProductMaster.FundShareClass.Publisher.TimeoutsDispatcher] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-05 13:27:00.464 INFO  NServiceBus.Features.QueuePermissions Queue [private$\ProductMaster.FundShareClass.Publisher.Retries] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-05 13:27:00.471 INFO  NServiceBus.Features.QueuePermissions Queue [private$\ProductMaster.FundShareClass.Publisher] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2017-03-05 13:27:02.057 INFO  NServiceBus.SubscriptionReceiverBehavior Subscribe from ProductMaster.FundShareClass.Events@DESKTOP-USRB3A3 on message type Schroders.Bus.Core.BusEvent, Schroders.Bus.Core, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
